Float pumping speeds by length of pipe between two pumps:
length: 243 measured in pump: 851.06225585938 measured out pump: 851.06225585938
length: 244 measured in pump: 848.0546875 measured out pump: 848.0546875
length: 245 measured in pump: 845.06896972656 measured out pump: 845.06896972656
length: 246 measured in pump: 842.10369873047 measured out pump: 842.10369873047
length: 247 measured in pump: 839.15942382813 measured out pump: 839.15942382813
length: 248 measured in pump: 836.23547363281 measured out pump: 836.23547363281
length: 249 measured in pump: 833.33178710938 measured out pump: 833.33178710938
length: 250 measured in pump: 830.44879150391 measured out pump: 830.44879150391
length: 251 measured in pump: 827.58471679688 measured out pump: 827.58471679688
length: 252 measured in pump: 824.74047851563 measured out pump: 824.74047851563
length: 253 measured in pump: 821.91662597656 measured out pump: 821.91662597656
length: 254 measured in pump: 819.11157226563 measured out pump: 819.11157226563
length: 255 measured in pump: 816.32495117188 measured out pump: 816.32495117188
length: 256 measured in pump: 813.55786132813 measured out pump: 813.55786132813
length: 257 measured in pump: 810.80938720703 measured out pump: 810.80938720703
length: 258 measured in pump: 808.07934570313 measured out pump: 808.07934570313
length: 259 measured in pump: 805.36773681641 measured out pump: 805.36773681641
length: 260 measured in pump: 802.67419433594 measured out pump: 802.67419433594
length: 261 measured in pump: 799.99853515625 measured out pump: 799.99853515625
length: 262 measured in pump: 797.34094238281 measured out pump: 797.34094238281
length: 263 measured in pump: 794.70056152344 measured out pump: 794.70056152344
length: 264 measured in pump: 792.07818603516 measured out pump: 792.07818603516
length: 265 measured in pump: 789.47216796875 measured out pump: 789.47216796875
length: 266 measured in pump: 786.88391113281 measured out pump: 786.88391113281
length: 267 measured in pump: 784.31219482422 measured out pump: 784.31219482422
length: 268 measured in pump: 781.75756835938 measured out pump: 781.75756835938
length: 269 measured in pump: 779.21948242188 measured out pump: 779.21948242188
length: 270 measured in pump: 776.69738769531 measured out pump: 776.69738769531
length: 271 measured in pump: 774.1923828125 measured out pump: 774.1923828125
length: 272 measured in pump: 771.70300292969 measured out pump: 771.70300292969
length: 273 measured in pump: 769.22943115234 measured out pump: 769.22943115234
length: 274 measured in pump: 766.77185058594 measured out pump: 766.77185058594
length: 275 measured in pump: 764.32983398438 measured out pump: 764.32983398438
length: 276 measured in pump: 761.9033203125 measured out pump: 761.9033203125
length: 277 measured in pump: 759.49249267578 measured out pump: 759.49249267578
length: 278 measured in pump: 757.09619140625 measured out pump: 757.09619140625
length: 279 measured in pump: 754.71551513672 measured out pump: 754.71551513672
length: 280 measured in pump: 752.34973144531 measured out pump: 752.34973144531
length: 281 measured in pump: 749.99890136719 measured out pump: 749.99890136719
length: 282 measured in pump: 747.66217041016 measured out pump: 747.66217041016
length: 283 measured in pump: 745.34027099609 measured out pump: 745.34027099609
length: 284 measured in pump: 743.03265380859 measured out pump: 743.03265380859
length: 285 measured in pump: 740.73907470703 measured out pump: 740.73907470703
length: 286 measured in pump: 738.46014404297 measured out pump: 738.46014404297
length: 287 measured in pump: 736.19512939453 measured out pump: 736.19512939453
length: 288 measured in pump: 733.94354248047 measured out pump: 733.94354248047
length: 289 measured in pump: 731.70617675781 measured out pump: 731.70617675781
length: 290 measured in pump: 729.48187255859 measured out pump: 729.48187255859
length: 291 measured in pump: 727.27130126953 measured out pump: 727.27130126953
length: 292 measured in pump: 725.07434082031 measured out pump: 725.07434082031
length: 293 measured in pump: 722.89013671875 measured out pump: 722.89013671875
length: 294 measured in pump: 720.71984863281 measured out pump: 720.71984863281
length: 295 measured in pump: 718.56170654297 measured out pump: 718.56170654297
length: 296 measured in pump: 716.41687011719 measured out pump: 716.41687011719
length: 297 measured in pump: 714.2841796875 measured out pump: 714.2841796875
length: 298 measured in pump: 712.16479492188 measured out pump: 712.16479492188
length: 299 measured in pump: 710.05804443359 measured out pump: 710.05804443359
length: 300 measured in pump: 707.96350097656 measured out pump: 707.96350097656
length: 301 measured in pump: 705.88104248047 measured out pump: 705.88104248047
length: 302 measured in pump: 703.81091308594 measured out pump: 703.81091308594
length: 303 measured in pump: 701.75347900391 measured out pump: 701.75347900391
length: 304 measured in pump: 699.70721435547 measured out pump: 699.70721435547
length: 305 measured in pump: 697.67333984375 measured out pump: 697.67333984375
length: 306 measured in pump: 695.65093994141 measured out pump: 695.65093994141
length: 307 measured in pump: 693.64031982422 measured out pump: 693.64031982422
length: 308 measured in pump: 691.64166259766 measured out pump: 691.64166259766
length: 309 measured in pump: 689.65393066406 measured out pump: 689.65393066406
length: 310 measured in pump: 687.67785644531 measured out pump: 687.67785644531
